Video Link,Title,Description,Content Provider,Language
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22116?e=0|*|||,Bio Diversity,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22119?e=1|*|||,Experiment for reflection of light,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22123?e=2|*|||,Difference between Reflection and Transmittance of Light,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22125?e=3|*|||,Respiration in Animals,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22126?e=4|*|||,How to Poke a Needle in a Balloon Without Bursting,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22127?e=5|*|||,What Makes a Bubble Colourful,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22128?e=6|*|||,Why Atmosphere Pressure Doesnt Burst Our Body,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22129?e=7|*|||,Why Red and Green Colour in Traffic Lights,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22130?e=8|*|||,Reflection of Light - Mirror Surfaces,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22131?e=9|*|||,What is Heat Transfer,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22162?e=10|*|||,Aerobic Respiration,N/A,Raj-eGyan,English
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22163?e=11|*|||,Anaerobic Respiration,N/A,Raj-eGyan,English
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22164?e=12|*|||,What Does The Stomach Do,N/A,Raj-eGyan,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/00fa9307c21833b490393d61cab742ef13c44929?e=13|*|||,"Variation, Adaptation, and Natural Selection","Learning Goals During this session, you will have an opportunity to build understandings to help you: Recognize how populations vary…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/071bcdc00b27518a7630da8f071d34533dabb4d8?e=14|*|||,Thinking and Communicating Like a Biologist,"Amy Sheck leads students as they read and discuss a scientific paper on biofilms, design and propose an experiment, and…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/0a95dac3e72f758ebc1910bf7462500d6aa9592f?e=15|*|||,Science in the Real World: A Biotech Startup,Introduction The Real World videos in the Reading and Writing in the Disciplines course support teachers’ daily efforts to effectively…,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/0c2a84f628d1f06883d9525dce80ca14d88267a8?e=16|*|||,Tackling a Scientific Text,Tracy Tran discusses the importance of encouraging students not to shy away from dense scientific text. Teacher: Tracy Tran School: The Urban…,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/14375ca3bd15c27ab5229162a5006ef89a7ba4d0?e=17|*|||,Material Cycles in Ecosystems,"Learning Goals During this session, you will have an opportunity to build understandings to help you: Distinguish between producers, consumers,…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/1a47f436610cd68ce7a3d3d8a48818d066b08880?e=18|*|||,A Closer Look (video),"A Closer Look is a helpful video to view first, as it provides the basis for further study. This video features:…",Annenberg Learner,English
