Video Link,Title,Description,Content Provider,Language
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22089?e=0|*|||,Drawing 60 D with compass,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22090?e=1|*|||,What is Muliplication and Division,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22091?e=2|*|||,"Multiplication and division by 0, 1 and 2",N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22092?e=3|*|||,"Multiplication by 10, 100 and 1000",N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22112?e=4|*|||,How to measure an Angle and Angle Basics,N/A,Raj-eGyan,English
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22113?e=5|*|||,Converting between fractions and decimals,N/A,Raj-eGyan,English
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22114?e=6|*|||,Constructing Perpendicular Bisector,N/A,Raj-eGyan,English
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22115?e=7|*|||,Types of Quadrilaterals,N/A,Raj-eGyan,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/0397e96b68c19119c209fbab35d384362fbe822c?e=8|*|||,Random Sampling and Estimation,"In this session, you will learn how to use results from a random sample to estimate characteristics of an entire…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/0f6e422a0befe3701d7ce7847bec9b023dc0c537?e=9|*|||,Algebraic Structure,"In Session 8, we concluded our study of functions by looking at cyclic and inverse functions. You learned that cyclic…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/10c2f27adf27fa411b96bab2ea37ea4e329e3147?e=10|*|||,"Min, Max and the Five-Number Summary",Sessions 2 and 3 explored different ways to organize data in order to draw out patterns in the variation. In…,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/110604da4a9884b867f6bd0f674640729e74aa4c?e=11|*|||,Algebraic Thinking,"In this initial session, we will explore algebraic thinking first by developing a definition of what it means to think…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/15dfb162135b333aa83bfe324505ef133a30e346?e=12|*|||,Variables and Patterns of Change,Part 1: Translating Words Into Symbols Translating words into symbols is equivalent to modeling a situation using an equation and…,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/18228aa716f0119333856024697344be61c26e94?e=13|*|||,Data Organization and Representation,"In the previous session, you explored measurement and variation. You learned that there is almost always variation in statistical data,…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/1a47f436610cd68ce7a3d3d8a48818d066b08880?e=14|*|||,A Closer Look (video),"A Closer Look is a helpful video to view first, as it provides the basis for further study. This video features:…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/1d32c960526cc86716bab9a8a29f212c4e14f69b?e=15|*|||,"Classroom Case Studies, 6-8",In This Session: Part A: Observing a Case Study Part B: Reasoning About Number and Operations Part C: Problems…,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/235e76efc3b955e2033d68e676b302234bed93c0?e=16|*|||,"Classroom Case Studies, K-2","In the previous sessions, you explored number and operations as a mathematics learner, both to analyze your own approach to…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/23aeb27fb54991a6a45372bbd342d52750e8cc39?e=17|*|||,Functions and Algorithms,"In Session 1, we looked at patterns in pictures, charts, and graphs to determine how different quantities are related. In…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/28d897fc61e6f143c1e804545ceb5c3c4976dfdd?e=18|*|||,Engaging Students’ in Hands-On Activities (video),N/A,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/2b5d0e4c0bc5fa6e2dabafcc7d368ed16cf060b8?e=19|*|||,Patterns in Context,"In Session 1, we began to develop a definition of algebraic thinking. We used mathematical thinking tools to reason about…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/2eeec41c9f5ba7973799876bdadf0691b1341426?e=0|*|||,Evidence (video),"An image can show us otherwise invisible processes, previously undiscovered life forms, and dramatic change over time. This video features…",Annenberg Learner,English
